,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,Adopted
5985,Cat,9,Domestic Short Hair,Male,Black,No Color,Medium,Medium,Yes,No,Healthy,0,5,Yes
5986,Dog,12,Mixed Breed,Female,Brown,Cream,Medium,Short,Not Sure,Not Sure,Healthy,0,1,Yes
5987,Cat,11,Domestic Short Hair,Female,Gray,White,Medium,Short,Yes,Yes,Healthy,0,5,Yes
5988,Cat,1,Domestic Short Hair,Female,Brown,White,Large,Short,No,Not Sure,Healthy,0,3,Yes
5989,Dog,3,Terrier,Male,Black,No Color,Large,Long,Yes,No,Healthy,0,1,No
5990,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,No
5991,Cat,15,Domestic Short Hair,Male,Black,Brown,Large,Short,No,No,Healthy,50,1,Yes
5992,Cat,2,Domestic Short Hair,Female,Black,Gray,Small,Short,No,No,Healthy,0,2,Yes
5993,Cat,3,Domestic Medium Hair,Male,Golden,No Color,Small,Medium,No,No,Healthy,0,3,Yes
5994,Cat,2,Domestic Medium Hair,Female,Yellow,White,Medium,Medium,No,No,Minor Injury,0,4,Yes
5995,Dog,1,Mixed Breed,Female,Black,No Color,Large,Short,No,No,Healthy,0,3,No
5996,Cat,2,Domestic Short Hair,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,3,Yes
5997,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,2,Yes
5998,Dog,24,Mixed Breed,Female,Brown,No Color,Large,Short,Yes,Yes,Healthy,50,4,No
5999,Cat,0,Domestic Short Hair,Female,Golden,No Color,Medium,Medium,No,Not Sure,Healthy,0,5,No
6000,Cat,4,Domestic Medium Hair,Female,Black,White,Medium,Medium,No,No,Healthy,0,10,No
6001,Cat,12,Domestic Medium Hair,Female,Black,White,Medium,Medium,Yes,Yes,Healthy,150,3,No
6002,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,7,Yes
6003,Dog,4,Mixed Breed,Male,Brown,Gray,Large,Short,Yes,No,Healthy,0,3,Yes
6004,Cat,7,Oriental Short Hair,Female,Black,Brown,Medium,Short,Yes,No,Healthy,250,3,Yes
6005,Cat,12,Domestic Short Hair,Male,Cream,Gray,Medium,Short,Not Sure,Not Sure,Healthy,0,1,Yes
6006,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,5,Yes
6007,Cat,3,Tabby,Male,Black,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,2,Yes
6008,Dog,24,Mixed Breed,Male,Brown,Gray,Medium,Short,Yes,Yes,Healthy,0,1,Yes
6009,Cat,2,Domestic Medium Hair,Female,White,No Color,Small,Medium,No,No,Healthy,10,1,Yes
6010,Cat,12,Domestic Short Hair,Male,Black,No Color,Small,Short,No,No,Healthy,0,1,Yes
6011,Dog,24,Pekingese,Male,Brown,No Color,Small,Short,Yes,Yes,Healthy,0,3,Yes
6012,Cat,3,Tabby,Male,Cream,Gray,Medium,Short,No,No,Healthy,0,12,Yes
6013,Dog,11,Mixed Breed,Female,Cream,White,Medium,Medium,Not Sure,Not Sure,Healthy,200,3,No
6014,Cat,1,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,2,Yes
6015,Dog,2,German Shepherd Dog,Female,Black,Yellow,Medium,Medium,No,No,Healthy,0,1,Yes
6016,Dog,19,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,Yes,Healthy,0,8,Yes
6017,Dog,2,Mixed Breed,Male,Brown,No Color,Small,Short,No,No,Healthy,0,1,No
6018,Cat,12,Tabby,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,4,Yes
6019,Dog,8,Mixed Breed,Female,White,No Color,Medium,Short,Yes,Yes,Healthy,200,4,Yes
6020,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,9,Yes
6021,Dog,42,Jack Russell Terrier,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,3,Yes
6022,Dog,3,Mixed Breed,Male,Black,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,1,Yes
6023,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Minor Injury,0,5,Yes
6024,Dog,1,Mixed Breed,Male,Black,No Color,Medium,Medium,Yes,No,Healthy,0,1,No
6025,Cat,4,Domestic Short Hair,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,2,No
6026,Cat,2,Domestic Medium Hair,Female,White,No Color,Medium,Medium,No,No,Healthy,0,1,Yes
6027,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,4,No
6028,Dog,3,Mixed Breed,Female,Brown,White,Medium,Medium,Not Sure,No,Healthy,0,7,Yes
6029,Cat,1,Domestic Short Hair,Female,Gray,White,Medium,Medium,No,No,Healthy,0,5,Yes
6030,Cat,2,Tabby,Male,Golden,No Color,Large,Medium,No,No,Healthy,0,7,Yes
6031,Cat,5,Domestic Short Hair,Male,Black,Gray,Medium,Short,Not Sure,Not Sure,Healthy,0,3,No
6032,Dog,24,Akita,Female,Golden,Cream,Medium,Medium,Yes,Yes,Healthy,0,2,No
6033,Cat,12,Domestic Short Hair,Female,Golden,No Color,Medium,Short,Yes,Yes,Healthy,50,1,Yes
6034,Cat,1,Oriental Short Hair,Male,Cream,No Color,Small,Short,No,No,Healthy,0,1,No
6035,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,80,1,No
6036,Cat,3,Tabby,Female,Gray,No Color,Medium,Medium,No,No,Healthy,0,1,Yes
6037,Dog,48,Shih Tzu,Male,Cream,White,Small,Long,Yes,Yes,Minor Injury,400,2,Yes
6038,Cat,4,Domestic Short Hair,Female,Brown,Golden,Medium,Short,No,No,Healthy,0,3,No
6039,Cat,19,Domestic Medium Hair,Female,Brown,White,Medium,Medium,Not Sure,No,Healthy,0,6,Yes
6040,Cat,2,Domestic Short Hair,Male,Brown,No Color,Small,Short,Yes,No,Healthy,50,1,Yes
6041,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,2,Yes
6042,Cat,3,Domestic Short Hair,Female,Black,Gray,Medium,Short,No,No,Healthy,0,4,Yes
6043,Cat,6,Siamese,Male,Cream,White,Medium,Short,No,No,Healthy,0,3,Yes
6044,Dog,3,Mixed Breed,Female,Black,Yellow,Large,Short,Not Sure,Not Sure,Healthy,0,4,No
6045,Dog,41,Mixed Breed,Female,Brown,Golden,Medium,Short,Yes,Yes,Healthy,80,4,No
6046,Cat,3,Domestic Short Hair,Female,Black,Yellow,Small,Short,Yes,No,Healthy,0,4,Yes
6047,Cat,6,Tabby,Male,Gray,No Color,Medium,Short,No,No,Healthy,0,4,No
6048,Cat,3,Domestic Short Hair,Female,Black,Gray,Medium,Short,No,No,Healthy,0,5,Yes
6049,Cat,2,British Shorthair,Male,Gray,No Color,Small,Short,No,No,Healthy,0,1,Yes
6050,Cat,2,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,4,Yes
6051,Cat,12,Domestic Short Hair,Male,Cream,White,Small,Short,Not Sure,Yes,Healthy,0,5,Yes
6052,Dog,4,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,6,Yes
6053,Cat,24,Persian,Female,Yellow,No Color,Medium,Long,No,Yes,Healthy,50,2,Yes
6054,Dog,3,Labrador Retriever,Female,Cream,White,Large,Medium,Not Sure,Yes,Healthy,0,3,Yes
6055,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Minor Injury,38,1,No
6056,Dog,48,Silky Terrier,Female,Black,Cream,Medium,Medium,Yes,Yes,Healthy,0,3,Yes
6057,Cat,12,Calico,Female,Black,Yellow,Small,Short,No,No,Healthy,0,1,Yes
6058,Cat,4,Domestic Short Hair,Male,Golden,No Color,Small,Short,No,No,Healthy,0,3,Yes
6059,Dog,11,Beagle,Female,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes
6060,Cat,26,Siamese,Male,Gray,No Color,Medium,Medium,Yes,Yes,Healthy,50,3,Yes
6061,Dog,36,German Shepherd Dog,Female,Black,Brown,Large,Medium,Not Sure,Not Sure,Healthy,0,6,No
6062,Cat,17,Domestic Medium Hair,Female,Black,Yellow,Medium,Medium,Yes,No,Healthy,70,1,No
6063,Cat,3,Domestic Short Hair,Female,Yellow,Cream,Medium,Short,No,No,Healthy,0,9,Yes
6064,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,6,Yes
6065,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,4,Yes
6066,Dog,72,Mixed Breed,Female,Black,No Color,Medium,Short,Not Sure,No,Minor Injury,0,4,Yes
6067,Cat,6,Domestic Short Hair,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,1,Yes
6068,Dog,7,Mixed Breed,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,110,5,Yes
6069,Dog,48,Chihuahua,Female,Cream,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,4,Yes
6070,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,1,Yes
6071,Cat,8,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,2,Yes
6072,Cat,36,Domestic Short Hair,Male,Black,Gray,Medium,Short,Yes,Yes,Healthy,0,6,No
6073,Cat,8,Domestic Short Hair,Male,Cream,No Color,Medium,Short,Yes,Yes,Healthy,0,2,Yes
6074,Dog,2,Mixed Breed,Male,Black,No Color,Medium,Medium,Yes,No,Healthy,0,5,Yes
6075,Cat,16,Bombay,Male,Black,No Color,Large,Medium,Yes,Yes,Healthy,0,1,No
6076,Dog,48,Pomeranian,Male,Golden,No Color,Small,Medium,Yes,No,Healthy,0,1,No
6077,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,2,Yes
6078,Dog,25,Beagle,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,1,Yes
6079,Dog,3,Mixed Breed,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,6,Yes
6080,Dog,2,Mixed Breed,Female,Black,Brown,Small,Short,No,Not Sure,Healthy,0,2,Yes
6081,Cat,2,Abyssinian,Male,Black,Yellow,Medium,Short,No,No,Healthy,0,3,Yes
6082,Dog,5,Dalmatian,Female,Black,Gray,Large,Short,Yes,No,Healthy,50,1,No
6083,Dog,96,Golden Retriever,Female,Golden,No Color,Large,Medium,Yes,Yes,Healthy,0,4,Yes
6084,Cat,12,Bombay,Male,Black,Yellow,Large,Long,Not Sure,Not Sure,Healthy,0,2,Yes
6085,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,4,Yes
6086,Dog,2,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,No,Healthy,0,1,No
6087,Cat,1,Siamese,Male,Golden,No Color,Small,Short,No,No,Healthy,0,2,Yes
6088,Cat,2,Domestic Short Hair,Male,Yellow,Cream,Small,Short,No,No,Healthy,0,4,Yes
6089,Dog,1,Mixed Breed,Female,Brown,White,Medium,Short,No,No,Healthy,0,1,Yes
6090,Dog,2,Mixed Breed,Female,Brown,Golden,Medium,Short,No,No,Healthy,0,2,Yes
6091,Cat,2,Domestic Long Hair,Female,Gray,White,Small,Long,Not Sure,Not Sure,Healthy,0,4,Yes
6092,Cat,1,Domestic Short Hair,Female,Black,Golden,Medium,Short,No,No,Healthy,0,3,Yes
6093,Cat,4,Domestic Medium Hair,Female,Brown,Gray,Small,Medium,No,No,Healthy,0,1,No
6094,Cat,1,Domestic Medium Hair,Female,White,No Color,Small,Medium,No,No,Healthy,0,3,Yes
6095,Dog,3,Mixed Breed,Female,Brown,White,Medium,Short,Not Sure,No,Healthy,0,9,Yes
6096,Dog,1,Mixed Breed,Female,Cream,No Color,Small,Short,No,No,Healthy,0,1,Yes
6097,Cat,4,British Shorthair,Male,Golden,Yellow,Medium,Medium,Yes,No,Healthy,0,0,Yes
6098,Dog,1,Mixed Breed,Female,White,No Color,Medium,Short,No,No,Healthy,0,1,Yes
6099,Cat,7,Domestic Medium Hair,Female,Gray,White,Medium,Medium,Yes,Yes,Healthy,0,3,Yes
6100,Cat,7,Domestic Long Hair,Male,Gray,White,Medium,Medium,Not Sure,No,Healthy,0,12,Yes
6101,Cat,1,Domestic Medium Hair,Male,Golden,Gray,Medium,Medium,No,No,Healthy,0,3,Yes
6102,Dog,10,Dalmatian,Female,Black,White,Medium,Short,Yes,Yes,Healthy,100,8,No
6103,Dog,2,Mixed Breed,Male,Black,White,Medium,Short,Yes,No,Healthy,0,4,Yes
6104,Dog,3,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes
6105,Cat,4,Siamese,Male,Cream,Gray,Small,Medium,Yes,Yes,Healthy,0,3,Yes
6106,Dog,24,Mixed Breed,Male,Brown,No Color,Medium,Medium,Not Sure,No,Healthy,0,2,Yes
6107,Cat,4,Domestic Short Hair,Female,Black,Yellow,Medium,Short,Yes,No,Healthy,0,3,Yes
6108,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,1,Yes
6109,Cat,2,Domestic Short Hair,Male,Black,Gray,Small,Short,No,No,Healthy,0,3,Yes
6110,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,150,3,No
6111,Cat,2,Domestic Short Hair,Male,Brown,Cream,Small,Short,No,No,Healthy,0,10,Yes
6112,Dog,4,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,8,Yes
6113,Dog,6,Poodle,Female,Brown,Cream,Medium,Short,Yes,No,Healthy,0,5,Yes
6114,Dog,12,Mixed Breed,Male,Black,Yellow,Medium,Short,No,No,Healthy,0,5,Yes
6115,Cat,2,Domestic Short Hair,Female,Black,Cream,Small,Short,No,No,Healthy,0,5,Yes
6116,Dog,17,Mixed Breed,Female,Black,No Color,Small,Short,Yes,Yes,Healthy,80,6,No
6117,Cat,2,Tortoiseshell,Female,Black,Golden,Medium,Medium,Yes,No,Healthy,0,6,Yes
6118,Dog,60,Mixed Breed,Female,Cream,No Color,Medium,Short,Yes,Yes,Minor Injury,0,1,No
6119,Cat,12,Domestic Short Hair,Male,Cream,No Color,Large,Medium,Yes,No,Healthy,0,5,No
6120,Dog,24,Poodle,Male,Brown,No Color,Small,Medium,Yes,No,Healthy,50,5,Yes
6121,Cat,7,Persian,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,3,Yes
6122,Dog,12,Mixed Breed,Male,Brown,No Color,Large,Short,Yes,Yes,Healthy,100,1,Yes
6123,Cat,2,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,16,Yes
6124,Dog,2,Mixed Breed,Female,Black,Cream,Medium,Short,Yes,No,Healthy,0,5,Yes
6125,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,3,Yes
6126,Cat,0,Domestic Short Hair,Male,Black,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,1,No
6127,Dog,2,Mixed Breed,Female,Black,Brown,Small,Short,No,No,Healthy,0,5,No
6128,Cat,5,Domestic Short Hair,Female,White,No Color,Medium,Short,No,No,Healthy,0,3,Yes
6129,Cat,5,Domestic Short Hair,Female,Cream,No Color,Medium,Short,Yes,Yes,Healthy,0,3,No
6130,Dog,2,Mixed Breed,Female,Brown,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,2,No
6131,Cat,12,Domestic Medium Hair,Female,Black,Gray,Medium,Medium,No,Yes,Healthy,0,2,Yes
6132,Dog,34,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,100,4,No
6133,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,3,Yes
6134,Cat,1,Domestic Short Hair,Male,Brown,White,Small,Short,No,No,Healthy,0,1,Yes
6135,Cat,3,Tortoiseshell,Female,Black,Yellow,Small,Short,No,No,Healthy,0,2,Yes
6136,Dog,19,Mixed Breed,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,4,No
6137,Cat,3,Persian,Female,Golden,No Color,Large,Medium,No,No,Healthy,150,7,Yes
6138,Dog,60,Golden Retriever,Male,Cream,No Color,Medium,Medium,Yes,No,Healthy,0,2,Yes
6139,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,Yes,Healthy,0,7,Yes
6140,Dog,6,Mixed Breed,Female,Brown,White,Medium,Long,Yes,Yes,Healthy,0,4,Yes
6141,Dog,1,Mixed Breed,Female,Black,Brown,Large,Medium,Yes,No,Healthy,0,3,Yes
6142,Dog,3,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,200,2,Yes
6143,Dog,1,Mixed Breed,Male,Cream,No Color,Medium,Medium,Not Sure,No,Healthy,0,4,Yes
6144,Dog,7,Spitz,Female,Brown,White,Medium,Medium,Not Sure,Yes,Healthy,0,5,Yes
6145,Cat,6,Domestic Short Hair,Female,Yellow,No Color,Small,Short,Yes,Yes,Healthy,0,1,Yes
6146,Cat,4,Domestic Short Hair,Male,Black,Brown,Small,Short,No,No,Healthy,0,3,Yes
6147,Cat,24,Domestic Long Hair,Male,Gray,White,Large,Long,No,No,Healthy,100,3,No
6148,Dog,2,Mixed Breed,Female,Brown,White,Medium,Medium,Not Sure,No,Healthy,0,3,Yes
6149,Cat,1,Domestic Short Hair,Male,Black,Yellow,Medium,Short,No,No,Healthy,0,4,No
6150,Cat,6,Domestic Short Hair,Female,Gray,White,Medium,Short,No,No,Healthy,0,5,Yes
6151,Cat,2,Domestic Short Hair,Male,Black,White,Small,Short,No,No,Healthy,0,4,Yes
6152,Cat,11,Domestic Short Hair,Male,Black,Gray,Medium,Short,Yes,Yes,Healthy,0,0,Yes
6153,Cat,2,Domestic Medium Hair,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,4,Yes
6154,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,No,Yes,Healthy,0,6,Yes
6155,Cat,3,Domestic Short Hair,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,2,Yes
6156,Dog,1,Mixed Breed,Male,Cream,No Color,Small,Medium,No,No,Healthy,0,3,Yes
6157,Dog,3,Yellow Labrador Retriever,Male,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,2,Yes
6158,Dog,65,Pug,Female,Cream,No Color,Small,Short,Yes,Yes,Healthy,0,1,Yes
6159,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes
6160,Cat,2,Domestic Short Hair,Male,Cream,White,Small,Short,Not Sure,No,Healthy,0,2,Yes
6161,Cat,5,Domestic Short Hair,Male,Golden,No Color,Medium,Short,No,No,Healthy,0,4,Yes
6162,Dog,7,Dachshund,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,5,No
6163,Cat,17,Domestic Long Hair,Female,White,No Color,Medium,Long,Yes,Yes,Healthy,380,2,Yes
6164,Cat,2,Domestic Short Hair,Female,Gray,White,Medium,Medium,No,No,Healthy,0,3,Yes
6165,Dog,32,Shih Tzu,Male,White,No Color,Small,Long,Not Sure,Not Sure,Healthy,0,4,Yes
6166,Dog,8,Doberman Pinscher,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,3,Yes
6167,Cat,11,Siamese,Female,Cream,Gray,Medium,Medium,Yes,No,Healthy,0,3,Yes
6168,Cat,12,Domestic Short Hair,Female,Gray,White,Small,Short,Yes,Yes,Healthy,100,2,Yes
6169,Dog,7,Poodle,Female,Cream,White,Medium,Medium,Yes,Yes,Healthy,200,6,Yes
6170,Cat,4,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,Yes,Healthy,100,1,No
6171,Dog,24,Terrier,Female,White,No Color,Medium,Long,Not Sure,Yes,Healthy,0,1,No
6172,Dog,12,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,Yes,Healthy,0,7,No
6173,Dog,4,Doberman Pinscher,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,0,3,No
6174,Cat,5,Domestic Medium Hair,Male,Black,Brown,Medium,Medium,No,No,Healthy,150,3,Yes
6175,Cat,6,Domestic Short Hair,Female,Yellow,White,Small,Short,No,No,Healthy,0,3,Yes
6176,Dog,4,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,0,4,Yes
6177,Dog,2,Labrador Retriever,Male,Brown,Golden,Large,Medium,Yes,No,Healthy,0,5,Yes
6178,Cat,12,Domestic Short Hair,Female,Gray,No Color,Small,Short,Not Sure,No,Healthy,0,5,No
6179,Dog,6,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Minor Injury,0,1,No
6180,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,10,Yes
6181,Cat,2,Domestic Short Hair,Female,Gray,No Color,Small,Short,Not Sure,No,Healthy,0,5,Yes
6182,Dog,2,Miniature Pinscher,Female,Cream,No Color,Medium,Short,No,No,Healthy,0,8,Yes
6183,Dog,9,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,1,No
6184,Dog,27,Beagle,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,5,Yes
6185,Cat,112,Domestic Short Hair,Male,Black,White,Small,Short,No,No,Healthy,0,5,Yes
6186,Cat,1,Calico,Female,Black,Golden,Medium,Short,No,No,Healthy,0,6,Yes
6187,Dog,24,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,Not Sure,Healthy,0,2,No
6188,Cat,11,Domestic Short Hair,Female,Brown,Golden,Small,Short,Yes,Yes,Healthy,0,5,Yes
6189,Cat,2,Persian,Female,Black,Golden,Medium,Medium,No,No,Healthy,150,6,Yes
6190,Cat,4,Domestic Medium Hair,Male,Gray,White,Medium,Medium,No,No,Healthy,0,0,Yes
6191,Cat,2,Domestic Short Hair,Male,Yellow,White,Medium,Short,Yes,No,Healthy,0,2,No
6192,Dog,132,Labrador Retriever,Female,Brown,Cream,Medium,Medium,Yes,Yes,Healthy,0,4,Yes
6193,Cat,3,Oriental Short Hair,Female,Black,Brown,Medium,Medium,No,Not Sure,Healthy,50,3,No
6194,Dog,7,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,Not Sure,Healthy,0,4,Yes
6195,Cat,6,Domestic Long Hair,Female,Yellow,No Color,Small,Long,No,No,Healthy,150,4,Yes
6196,Cat,60,Persian,Female,Brown,Cream,Large,Long,Yes,Yes,Healthy,0,2,No
6197,Cat,1,Domestic Short Hair,Male,Black,Gray,Medium,Short,No,No,Healthy,30,6,Yes
6198,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,5,Yes
6199,Cat,1,Domestic Short Hair,Female,Brown,Cream,Small,Short,No,Not Sure,Healthy,100,3,Yes
6200,Cat,7,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,2,Yes
6201,Dog,2,Mixed Breed,Male,Black,No Color,Medium,Short,Yes,Not Sure,Healthy,0,2,No
6202,Dog,2,Mixed Breed,Female,Cream,No Color,Medium,Medium,Yes,No,Healthy,0,2,Yes
6203,Cat,2,Domestic Short Hair,Male,Golden,No Color,Medium,Short,Yes,Yes,Healthy,0,8,Yes
6204,Dog,24,Mixed Breed,Female,Golden,No Color,Medium,Short,Yes,Yes,Healthy,0,3,No
6205,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,23,Yes
6206,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,No
6207,Dog,2,Mixed Breed,Male,Brown,White,Medium,Medium,Yes,No,Healthy,0,4,Yes
6208,Dog,8,Mixed Breed,Female,Brown,Golden,Medium,Medium,No,No,Healthy,0,2,No
6209,Dog,2,Mixed Breed,Female,Brown,Gray,Large,Short,Yes,No,Healthy,0,8,Yes
6210,Dog,2,Golden Retriever,Female,Black,No Color,Medium,Medium,No,No,Healthy,0,3,Yes
6211,Dog,11,Golden Retriever,Female,Golden,White,Large,Medium,Yes,No,Healthy,0,1,Yes
6212,Cat,12,Tabby,Male,Black,Gray,Medium,Short,No,No,Healthy,0,1,No
6213,Cat,3,Domestic Short Hair,Female,Black,White,Medium,Short,No,No,Healthy,30,5,Yes
6214,Dog,1,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,1,Yes
6215,Cat,1,Domestic Short Hair,Male,Black,Brown,Small,Short,No,No,Healthy,0,2,Yes
6216,Dog,3,Mixed Breed,Female,Brown,White,Medium,Short,No,No,Healthy,0,3,Yes
6217,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,4,Yes
6218,Cat,4,Domestic Short Hair,Female,Yellow,White,Medium,Medium,Yes,No,Healthy,250,7,No
6219,Dog,72,Mixed Breed,Male,Yellow,No Color,Large,Medium,Yes,Yes,Healthy,200,1,No
6220,Dog,4,Mixed Breed,Female,Black,White,Medium,Short,Yes,No,Healthy,100,12,No
6221,Cat,1,Domestic Short Hair,Male,Black,Brown,Medium,Short,No,No,Healthy,0,1,Yes
6222,Dog,7,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,4,No
6223,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,3,No
6224,Dog,72,English Cocker Spaniel,Male,Black,No Color,Medium,Medium,Yes,Not Sure,Minor Injury,0,2,Yes
6225,Dog,9,Doberman Pinscher,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,2,Yes
6226,Dog,1,Mixed Breed,Female,Brown,No Color,Small,Short,No,No,Healthy,0,3,Yes
6227,Dog,21,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,4,No
6228,Cat,7,Persian,Male,Golden,White,Large,Long,Yes,No,Healthy,350,4,Yes
6229,Cat,2,Domestic Short Hair,Male,Brown,No Color,Small,Short,No,No,Minor Injury,0,1,Yes
6230,Dog,2,Shetland Sheepdog Sheltie,Male,Black,Brown,Medium,Medium,No,No,Healthy,50,5,Yes
6231,Cat,4,Dilute Calico,Male,Black,White,Medium,Medium,No,No,Healthy,0,3,Yes
6232,Dog,2,Mixed Breed,Male,Cream,White,Medium,Short,No,No,Healthy,0,3,Yes
6233,Dog,2,Mixed Breed,Female,Cream,No Color,Small,Short,No,No,Healthy,0,3,No
6234,Cat,12,Domestic Short Hair,Male,White,No Color,Medium,Short,Yes,No,Healthy,0,2,No
6235,Dog,2,Corgi,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,5,Yes
6236,Cat,2,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,0,11,Yes
6237,Dog,3,Mixed Breed,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,1,Yes
6238,Cat,13,Domestic Medium Hair,Female,Golden,White,Medium,Medium,Yes,Yes,Healthy,0,4,No
6239,Cat,2,Domestic Short Hair,Male,Yellow,No Color,Medium,Short,No,No,Healthy,0,9,Yes
6240,Dog,36,Shih Tzu,Male,Black,Brown,Small,Medium,Yes,No,Healthy,0,0,No
6241,Cat,7,Tabby,Male,Gray,White,Medium,Long,No,No,Healthy,0,3,Yes
6242,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,2,Yes
6243,Cat,9,Domestic Short Hair,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,2,Yes
6244,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,7,Yes
6245,Dog,3,Labrador Retriever,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,2,Yes
